ISIN,SYMBOL,SERIES,TYPE,HAIRCUT
INF917K01WA9,01AD,DR,OMF,7.5
INF917K01WB7,01AP,DP,OMF,7.5
INF903J01MV8,02PD,GR,OMF,7.5
INF903J01MT2,03PD,DP,OMF,7.5
INF903J01MU0,03PD,DR,OMF,7.5
INF903J01MJ3,04PD,GR,OMF,7.5
INF903J01MH7,05PD,DP,OMF,7.5
INF903J01MI5,05PD,DR,OMF,7.5
INF917K01HS2,122D,GR,OMF,7.5
INF917K01VS3,131AD,DR,OMF,7.5
INF917K01VT1,131AP,DP,OMF,7.5
INF903J01NM5,13PD,DP,OMF,7.5
INF903J01NN3,14PD,GR,OMF,7.5
INF209K01SZ6,151ID,DP,GMF,10
INF917K01JG3,153L,DR,GMF,10
INF917K01JH1,154L,GR,GMF,10
INF917K01HF9,154LD,GR,GMF,10
INF209KB1ZL4,157D,DR,GMF,10
INF903J01NR4,157DP,GR,OMF,7.5
INF209KB1ZC3,157G,GR,GMF,10
INF209KB1ZE9,157WD,DR,GMF,10
INF209KB1ZH2,157Z,GR,GMF,10
INF903J01QA3,230PD,DR,GMF,10
INF903J01MN5,41PD,DP,OMF,7.5
INF903J01MO3,41PD,DR,OMF,7.5
INF903J01MP0,42PD,GR,OMF,7.5
INF917K01JB4,54L,DR,GMF,10
INF251K01OL7,627DA,DP,GMF,10
INF251K01OM5,627DB,DP,GMF,10
INF251K01NO3,627DG,GR,GMF,10
INF251K01NJ3,627G,GR,GMF,10
INF251K01OJ1,627RA,DP,GMF,10
INF251K01OK9,627RB,DP,GMF,10
INF251K01HL1,70D,DP,OMF,7.5
INF251K01HM9,70D,DR,OMF,7.5
INF251K01HN7,70G,GR,OMF,7.5
INF903J01NI3,71PD,DP,OMF,7.5
INF903J01NJ1,71PD,DR,OMF,7.5
INF903J01NK9,72PD,GR,OMF,7.5
INF903J01NF9,91PD,DP,OMF,7.5
INF903J01NG7,91PD,DR,OMF,7.5
INF903J01NH5,92PD,GR,OMF,7.5
INF846K01172,AEFDP,DP,OMF,7.5
INF846K01180,AEFDR,DR,OMF,7.5
INF846K01164,AEFGR,GR,OMF,7.5
INF754K01BS2,ARDG,GR,OMF,7.5
INF846K01644,ASTFIGR,GR,OMF,7.5
INF846K01651,ASTFIMDP,DP,OMF,7.5
INF846K01669,ASTFIMDR,DR,OMF,7.5
INF846K01677,ASTFIRDP,DP,OMF,7.5
INF846K01685,ASTFIRDR,DR,OMF,7.5
INF846K01594,ASTFRGR,GR,OMF,7.5
INF846K01545,ATAFIDDR,DR,OMF,7.5
INF846K01537,ATAFIGR,GR,OMF,7.5
INF846K01578,ATAFIMDP,DP,OMF,7.5
INF846K01586,ATAFIMDR,DR,OMF,7.5
INF846K01552,ATAFIWDP,DP,OMF,7.5
INF846K01560,ATAFIWDR,DR,OMF,7.5
INF846K01487,ATAFRDDR,DR,OMF,7.5
INF846K01479,ATAFRGR,GR,OMF,7.5
INF846K01149,ATAXDP,DP,OMF,7.5
INF846K01156,ATAXDR,DR,OMF,100
INF846K01131,ATAXGR,GR,OMF,7.5
INF754K01EB2,ATDD,DP,OMF,7.5
INF754K01EC0,ATDD,DR,OMF,7.5
INF754K01EA4,ATDG,GR,OMF,7.5
INF754K01EG1,ATDPD,DP,OMF,7.5
INF754K01EH9,ATDPR,DR,OMF,7.5
INF754K01EF3,ATGPG,GR,OMF,7.5
INF846K01CO3,AXISAFD1,DP,OMF,7.5
INF846K01CP0,AXISAFD1,DR,OMF,7.5
INF846K01CQ8,AXISAFDG,GR,OMF,7.5
INF846K01CI5,AXISAFDP,DP,OMF,7.5
INF846K01CJ3,AXISAFDP,DR,OMF,7.5
INF846K01CH7,AXISAFGP,GR,OMF,7.5
INF846K01CC8,AXISBDDDR,DR,OMF,7.5
INF846K01CR6,AXISBDDG,GR,OMF,7.5
INF846K01CT2,AXISBDDM,DP,OMF,7.5
INF846K01CS4,AXISBDDM,DR,OMF,7.5
INF846K01CF1,AXISBDDPD,DP,OMF,7.5
INF846K01CG9,AXISBDDPR,DR,OMF,7.5
INF846K01CB0,AXISBDGP,GR,OMF,7.5
INF846K01CD6,AXISBDWDD,DP,OMF,7.5
INF846K01CE4,AXISBDWDR,DR,OMF,7.5
INF846K01K19,AXISCDPD,DP,OMF,7.5
INF846K01420,AXISCFDD,DR,GMF,10
INF846K01CX4,AXISCFDG,GR,GMF,10
INF846K01CY2,AXISCFDM,DP,GMF,10
INF846K01CZ9,AXISCFDM,DR,GMF,10
INF846K01453,AXISCFDP,DP,GMF,10
INF846K01461,AXISCFDP,DR,GMF,10
INF846K01DA0,AXISCFDR,DR,GMF,10
INF846K01DB8,AXISCFDW,DP,GMF,10
INF846K01DC6,AXISCFDW,DR,GMF,10
INF846K01412,AXISCFGP,GR,GMF,10
INF846K01438,AXISCFWD,DP,GMF,10
INF846K01446,AXISCFWD,DR,GMF,10
INF846K01ZM8,AXISCODGG,GR,OMF,7.5
INF846K01ZQ9,AXISCODMD,DP,OMF,7.5
INF846K01ZR7,AXISCODMR,DR,OMF,7.5
INF846K01ZY3,AXISCODPD,DP,OMF,7.5
INF846K01ZZ0,AXISCODPR,DR,OMF,7.5
INF846K01ZU1,AXISCOGPG,GR,OMF,7.5
INF846K01DI3,AXISDBDG,GR,OMF,7.5
INF846K01DL7,AXISDBDQ,DP,OMF,7.5
INF846K01DM5,AXISDBDQ,DR,OMF,7.5
INF846K01917,AXISDBGP,GR,OMF,7.5
INF846K01925,AXISDBQD,DP,OMF,7.5
INF846K01933,AXISDBQDR,DR,OMF,7.5
INF846K01A37,AXISDED1D,DP,OMF,7.5
INF846K01A45,AXISDED1R,DR,OMF,7.5
INF846K01A29,AXISDEDGG,GR,OMF,7.5
INF846K01A60,AXISDEDPD,DP,OMF,7.5
INF846K01A78,AXISDEDPR,DR,OMF,7.5
INF846K01A52,AXISDEGPG,GR,OMF,7.5
INF846K01QA2,AXISEAD1D,DP,OMF,7.5
INF846K01QB0,AXISEAD1R,DR,OMF,7.5
INF846K01PZ1,AXISEADG,GR,OMF,7.5
INF846K01QD6,AXISEADPD,DP,OMF,7.5
INF846K01QE4,AXISEADPR,DR,OMF,7.5
INF846K01QC8,AXISEAGPG,GR,OMF,7.5
INF846K01W31,AXISEED1D,DP,OMF,7.5
INF846K01W49,AXISEED1R,DR,OMF,7.5
INF846K01W23,AXISEEDGG,GR,OMF,7.5
INF846K01W64,AXISEEDPD,DP,OMF,7.5
INF846K01W72,AXISEEDPR,DR,OMF,7.5
INF846K01W56,AXISEEGPG,GR,OMF,7.5
INF846K01DN3,AXISEFD1,DP,OMF,7.5
INF846K01DO1,AXISEFD1,DR,OMF,7.5
INF846K01DP8,AXISEFDG,GR,OMF,7.5
INF846K01E09,AXISEHD1D,DP,OMF,7.5
INF846K01E17,AXISEHD1R,DR,OMF,7.5
INF846K01E25,AXISEHDGG,GR,OMF,7.5
INF846K01E33,AXISEHDMD,DP,OMF,7.5
