"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Aug-2020","30 D % CHNG 
 16-Jul-2021"
"NIFTY 50","16,382.50","16,509.55","16,376.05","16,568.85","16,450.80","-118.05","-0.71",256580633,"221,711,691,867.44","16,701.85","10,790.20","45.23","5.99"
"HINDUNILVR","2,490.00","2,610.00","2,476.00","2,486.05","2,609.00","122.95","4.95",3904198,"9,969,799,054.78","2,610.00","2,000.05","13.33","2.10"
"ASIANPAINT","3,001.50","3,099.90","3,001.50","3,001.55","3,098.00","96.45","3.21",2896397,"8,872,764,641.86","3,179.50","1,831.00","59.17","-4.99"
"BRITANNIA","3,640.00","3,838.00","3,635.30","3,720.75","3,832.00","111.25","2.99",638303,"2,407,678,916.00","3,949.00","3,317.30","-3.99","8.36"
"NESTLEIND","18,555.25","19,370.00","18,555.25","18,911.00","19,334.60","423.60","2.24",79405,"1,513,926,201.40","19,370.00","15,100.00","15.69","5.91"
"BAJFINANCE","6,471.95","6,732.70","6,455.65","6,544.10","6,689.25","145.15","2.22",1729022,"11,444,863,453.94","6,732.70","3,006.90","91.91","10.14"
"EICHERMOT","2,540.00","2,631.80","2,521.25","2,589.65","2,618.90","29.25","1.13",1808007,"4,666,936,148.82","3,037.00","2,015.20","-87.82","1.36"
"HDFC","2,700.00","2,738.95","2,698.00","2,710.75","2,724.75","14.00","0.52",3063910,"8,333,743,282.70","2,896.00","1,623.00","48.29","10.25"
"MARUTI","6,815.00","6,914.65","6,780.00","6,840.10","6,857.00","16.90","0.25",502643,"3,448,120,927.14","8,329.00","6,270.15","-2.15","-5.43"
"TCS","3,506.00","3,575.00","3,500.00","3,560.55","3,560.55","-","-",1974145,"7,008,767,510.60","3,595.00","2,216.45","57.78","11.07"
"INFY","1,716.10","1,745.00","1,716.10","1,733.45","1,731.50","-1.95","-0.11",4973226,"8,625,712,371.18","1,755.50","912.10","80.70","11.83"
"HDFCBANK","1,486.05","1,515.50","1,486.05","1,513.00","1,510.65","-2.35","-0.16",5295289,"7,959,613,660.35","1,641.00","1,022.00","41.85","4.84"
"SBILIFE","1,114.05","1,133.50","1,100.50","1,114.05","1,112.30","-1.75","-0.16",1625116,"1,810,574,237.92","1,175.70","755.25","28.99","9.79"
"BAJAJFINSV","14,856.35","15,149.00","14,800.05","15,006.35","14,968.00","-38.35","-0.26",222232,"3,334,326,703.92","15,238.00","5,400.00","138.23","19.12"
"TATACONSUM","832.95","848.80","826.70","841.40","836.10","-5.30","-0.63",2274005,"1,909,322,818.15","848.80","458.95","53.48","11.13"
"RELIANCE","2,143.00","2,172.00","2,138.00","2,172.65","2,158.00","-14.65","-0.67",3192312,"6,882,816,210.72","2,369.35","1,830.00","1.93","3.77"
"M&M","788.80","791.35","776.25","791.35","785.25","-6.10","-0.77",2097447,"1,644,985,733.16","952.05","567.50","26.84","4.10"
"TITAN","1,859.40","1,892.30","1,857.95","1,880.30","1,864.30","-16.00","-0.85",771289,"1,444,624,297.00","1,892.30","1,076.00","63.73","12.50"
"ITC","207.00","209.05","206.70","208.95","207.00","-1.95","-0.93",10478985,"2,176,799,554.05","239.20","163.35","5.29","1.04"
