"SYMBOL 
"	"OPEN 
"	"HIGH 
"	"LOW 
"	"PREV. CLOSE 
"	"LTP 
"	"CHNG 
"	"%CHNG 
"	"VOLUME 
(shares)"	VALUE 	"52W H 
"	"52W L 
"	"365 D % CHNG 
 14-Aug-2020"	"30 D % CHNG 
 16-Jul-2021"
IDEA	5.95	6.4	5.95	6.45	6.05	-0.4	-6.2	257996418	"1,573,778,149.80"	13.8	4.55	-25.86	-28.33
GMRINFRA	28.65	28.8	27.9	28.85	28.05	-0.8	-2.77	6280159	"177,602,896.52"	33.9	20.8	36.41	-1.2
UNIONBANK	34.2	34.6	33.5	34.7	33.75	-0.95	-2.74	4163738	"141,733,641.52"	45.25	23.1	16.05	-3.34
IDFCFIRSTB	43.95	44.15	42	44.65	42.05	-2.6	-5.82	34066447	"1,462,472,569.71"	69.3	26.85	43.34	-12.79
BHEL	53.95	54.35	52.15	54.45	52.25	-2.2	-4.04	26823054	"1,428,864,086.58"	79.55	26.75	43.29	-13.84
BANKINDIA	66	66.45	64	66.7	64.3	-2.4	-3.6	1617024	"105,171,240.96"	101.4	38.2	37.1	-6.71
BANKBARODA	77.3	78.25	74.6	78.75	74.75	-4	-5.08	26530070	"2,026,366,746.60"	99.85	39.5	65.44	-0.19
L&TFH	80.95	81.85	79.75	81.65	79.85	-1.8	-2.2	5356503	"431,466,316.65"	113.4	51.96	21.59	-6.85
FEDERALBNK	82.35	82.85	79.55	83.25	80.15	-3.1	-3.72	14676274	"1,187,750,854.82"	92.5	45.35	51.64	-0.6
ASHOKLEY	124.15	124.2	118.5	125.15	119.6	-5.55	-4.43	16744419	"2,027,916,585.09"	143.3	63	80.72	1.46
SAIL	125.2	125.2	121.2	128.4	121.7	-6.7	-5.22	45922273	"5,635,581,342.56"	151.3	32.65	212.41	4.52
PFC	127	128.45	124.05	128.2	124.5	-3.7	-2.89	3351125	"422,509,840.00"	140.5	82.05	32.3	0.51
TATAPOWER	129	130.2	127	130.45	127.75	-2.7	-2.07	21030083	"2,703,206,868.82"	137	50.1	130.07	7.1
CASTROLIND	131.05	132.05	130.05	131.9	130.5	-1.4	-1.06	428609	"56,083,487.65"	154.9	104	7.06	-6.75
M&MFIN	147.05	147.3	143.5	148.05	143.5	-4.55	-3.07	4637948	"672,827,116.36"	224.3	112.7	7.36	-3.64
RECLTD	148.1	149	143.65	148.05	144.4	-3.65	-2.47	6544512	"959,490,904.32"	167.8	91.8	30.33	-2.21
CANBK	155	155.15	152.2	157.15	153.7	-3.45	-2.2	8525960	"1,308,052,783.20"	174.6	82.25	48.75	8.79
MANAPPURAM	163.9	163.9	158.65	165.5	158.95	-5.8	-3.52	5603314	"901,124,957.48"	218	139.1	3.44	-9.49
EXIDEIND	162.5	162.95	160.05	162.95	160.45	-2.5	-1.53	1662117	"267,866,775.72"	219.3	153.6	-2.01	-8.63
RBLBANK	166.05	168.3	162.15	168.85	162.6	-6.25	-3.7	6385163	"1,055,467,443.90"	274.3	156.1	-8.63	-17.29
ZEEL	174.1	175.7	170.5	176.7	170.85	-5.85	-3.31	7593889	"1,311,920,263.64"	261	165.3	-10.21	-12.26
BEL	171.9	174.9	170.3	174.1	173.15	-0.95	-0.55	4164093	"721,470,753.18"	191.7	86.35	55.03	-3.92
APOLLOTYRE	219	219	212.2	220.25	214.45	-5.8	-2.63	2995972	"642,815,752.32"	261.25	109.55	72.2	-0.65
IBULHSGFIN	237	241.9	226.8	241.35	227.65	-13.7	-5.68	14090594	"3,302,412,515.78"	313.7	127.75	17.85	-9.25
LICHSGFIN	380	384.85	376.7	384.75	377.55	-7.2	-1.87	2408270	"917,165,546.80"	542.45	260	38.65	-15.19
JINDALSTEL	391	395.5	381	408	383.5	-24.5	-6	12158952	"4,718,038,144.56"	501.7	159.6	79.42	7.33
TORNTPOWER	457	457.8	443.85	460.1	450.3	-9.8	-2.13	387571	"174,325,560.09"	508.7	293	32.38	-3.28
SUNTV	499.5	500.85	486.2	503.85	487.8	-16.05	-3.19	882131	"435,799,177.93"	586.55	407.8	15.07	-4.92
CHOLAFIN	504.7	506.5	491.15	506.75	492.2	-14.55	-2.87	1980966	"985,906,968.54"	600.95	212.1	123.58	3.38
TVSMOTOR	523	524.5	510.05	525	511.5	-13.5	-2.57	1307667	"671,696,231.22"	666	421.15	20.79	-9.96
GLENMARK	550	559.15	535.15	553.6	537.1	-16.5	-2.98	1407028	"766,759,908.60"	690.95	441.7	15.15	-17.08
CONCOR	673.45	673.45	652.2	673.45	653.95	-19.5	-2.9	1029336	"677,004,580.56"	748	351	71.23	1.36
