"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 11-Aug-2020","30 D % CHNG 
 12-Jul-2021"
"NIFTY NEXT 50","39,660.40","39,933.70","39,370.85","39,973.65","39,428.05","-545.60","-1.36",226481843,"83,839,548,040.46","40,273.40","25,636.70","44.26","3.35"
"ADANITRANS","1,099.00","1,128.95","1,076.00","1,075.20","1,128.95","53.75","5.00",182637,"205,519,589.73","1,644.95","231.65","-","16.91"
"PIDILITIND","2,223.00","2,285.00","2,210.00","2,225.30","2,265.90","40.60","1.82",794691,"1,788,960,697.74","2,333.95","1,384.00","53.52","-3.90"
"DABUR","594.65","608.00","590.30","597.40","607.40","10.00","1.67",2519414,"1,515,780,238.96","619.80","470.90","20.88","1.56"
"MARICO","523.70","532.90","517.85","523.70","532.00","8.30","1.58",1997818,"1,047,475,955.58","553.20","333.00","40.21","-1.17"
"ABBOTINDIA","18,820.00","19,188.00","18,645.25","18,886.70","19,157.15","270.45","1.43",7882,"148,921,719.80","19,994.70","13,959.80","11.98","8.11"
"GODREJCP","1,000.00","1,028.70","987.15","1,005.20","1,015.45","10.25","1.02",1448510,"1,458,171,561.70","1,028.70","641.00","45.54","5.94"
"PETRONET","221.00","225.95","220.20","223.65","225.30","1.65","0.74",12421872,"2,780,884,484.64","275.35","207.25","-12.31","2.17"
"BERGEPAINT","814.90","826.50","812.10","813.70","819.70","6.00","0.74",1562611,"1,282,481,726.03","872.95","535.00","46.30","-5.93"
"COLPAL","1,645.00","1,686.00","1,645.00","1,668.75","1,676.80","8.05","0.48",487477,"815,212,661.87","1,823.40","1,322.15","17.45","-4.88"
"HAVELLS","1,229.00","1,254.90","1,224.55","1,234.15","1,239.45","5.30","0.43",1707609,"2,122,489,682.64","1,266.00","608.45","96.15","11.83"
"DMART","3,650.00","3,707.15","3,618.00","3,650.60","3,650.00","-0.60","-0.02",179988,"658,946,867.28","3,707.15","1,954.85","61.06","7.46"
"LTI","4,901.05","5,093.95","4,900.00","4,981.80","4,979.95","-1.85","-0.04",308681,"1,546,346,729.93","5,093.95","2,311.60","108.85","14.32"
"SBICARD","1,003.00","1,011.90","995.15","1,010.75","1,008.50","-2.25","-0.22",1075038,"1,080,563,695.32","1,139.50","766.10","22.61","4.78"
"PGHH","12,800.00","12,800.00","12,478.30","12,807.00","12,762.90","-44.10","-0.34",14272,"180,386,091.52","14,135.65","9,691.40","28.73","-0.30"
"ADANIGREEN","938.95","938.95","925.00","942.50","937.50","-5.00","-0.53",1925559,"1,799,377,118.73","1,390.00","365.00","-","-0.28"
